selectionReason,reviewDecision,commercialAreaCode,commercialAreaName,areaType,latitude,longitude
환승역 핵심 역세권,,3120228,석촌역(석촌호수),DEVELOPMENT,37.5060236,127.1065390
환승역 핵심 역세권,,3120210,선릉역,DEVELOPMENT,37.5046107,127.0493553
환승역 핵심 역세권,,3120207,선정릉역,DEVELOPMENT,37.5114689,127.0454916
환승역 핵심 역세권,,3120224,수서역,DEVELOPMENT,37.4877814,127.1030305
환승역 핵심 역세권,,3120020,시청역_1번,DEVELOPMENT,37.5641384,126.9745557
환승역 핵심 역세권,,3120021,시청역_8번,DEVELOPMENT,37.5617597,126.9742396
환승역 핵심 역세권,,3120187,신논현역,DEVELOPMENT,37.5050238,127.0252772
환승역 핵심 역세권,,3120177,신논현역 1번,DEVELOPMENT,37.5054303,127.0198826
환승역 핵심 역세권,,3120039,신당역,DEVELOPMENT,37.5654285,127.0157219
환승역 핵심 역세권,,3120128,신도림역,DEVELOPMENT,37.5081922,126.8903816
환승역 핵심 역세권,,3120157,신림역(신림),DEVELOPMENT,37.4847242,126.9302379
환승역 핵심 역세권,,3120178,신사역,DEVELOPMENT,37.5159631,127.0195574
환승역 핵심 역세권,,3120062,신설동역,DEVELOPMENT,37.5749506,127.0244971
환승역 핵심 역세권,,3120041,신용산역(용산역),DEVELOPMENT,37.5289965,126.9633335
환승역 핵심 역세권,,3120094,"신촌역(신촌역, 신촌로터리)",DEVELOPMENT,37.5565286,126.9364183
환승역 핵심 역세권,,3120038,약수역,DEVELOPMENT,37.5542838,127.0100270
환승역 핵심 역세권,,3120179,양재역,DEVELOPMENT,37.4844967,127.0340329
환승역 핵심 역세권,,3120149,여의도역(여의도),DEVELOPMENT,37.5226812,126.9262546
환승역 핵심 역세권,,3120090,연신내역,DEVELOPMENT,37.6190669,126.9220704
환승역 핵심 역세권,,3120136,영등포구청역,DEVELOPMENT,37.5253946,126.8928113
환승역 핵심 역세권,,3120239,오금역,DEVELOPMENT,37.5017786,127.1261431
환승역 핵심 역세권,,3120049,왕십리역(왕십리),DEVELOPMENT,37.5609097,127.0372028
환승역 핵심 역세권,,3120040,용산전자상가(용산역),DEVELOPMENT,37.5332757,126.9615551
환승역 핵심 역세권,,3120031,을지로3가역,DEVELOPMENT,37.5662312,126.9916126
환승역 핵심 역세권,,3120033,을지로4가역,DEVELOPMENT,37.5668711,126.9967062
환승역 핵심 역세권,,3120227,잠실역,DEVELOPMENT,37.5139841,127.1012680
환승역 핵심 역세권,,3120009,종로3가역,DEVELOPMENT,37.5716551,126.9906951
환승역 핵심 역세권,,3120079,창동역,DEVELOPMENT,37.6523925,127.0476852
환승역 핵심 역세권,,3120243,천호역,DEVELOPMENT,37.5395234,127.1244416
환승역 핵심 역세권,,3120063,청량리역(청량리),DEVELOPMENT,37.5810071,127.0478094
환승역 핵심 역세권,,3120032,충무로역,DEVELOPMENT,37.5614020,126.9949407
환승역 핵심 역세권,,3120097,충정로역,DEVELOPMENT,37.5604864,126.9630804
환승역 핵심 역세권,,3120086,태릉입구역,DEVELOPMENT,37.6191396,127.0770122
환승역 핵심 역세권,,3120101,합정역,DEVELOPMENT,37.5494683,126.9134859
환승역 핵심 역세권,,3120103,홍대입구역(홍대),DEVELOPMENT,37.5505442,126.9188034
환승역 핵심 역세권,,3120065,회기역,DEVELOPMENT,37.5894180,127.0576201
