recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
KEEP,카카오 SW8 검증 역세권,,GGD-OMHKXIDBBOI6AIEBP4A5QRX7KE,고양구일산역사,424,37.6859988,126.7717302
KEEP,카카오 SW8 검증 역세권,,GGD-MZQ5GR7NEA5AJSPWCIY5XIDL6J,수원역_10번출구,417,37.2660731,127.0021592
KEEP,카카오 SW8 검증 역세권,,GGD-56JA47EDAXTQLVRGU33A2A6HB6,화정역_3번출구,417,37.6353653,126.8327341
KEEP,상업시설·시장 계열,,GGD-YFO57R6HVZSQEXGFR2P75NHHFN,메가박스수원남문,412,37.2760165,127.0155100
KEEP,카카오 SW8 검증 역세권,,GGD-UO2T45LBCGXP672KUCHJE53CHX,수원시청역_1번출구,410,37.2594661,127.0329058
KEEP,카카오 SW8 검증 역세권,,GGD-QEBMQU72IZFP7VRGQ5FLZODAZN,죽전역,410,37.3249558,127.1073461
KEEP,카카오 SW8 검증 역세권,,GGD-57UZR73C5GGTLL5T2AVPFM4QWA,마두역_1번출구,407,37.6524642,126.7767982
KEEP,상업시설·시장 계열,,GGD-CPG3LJTJVKIQDNI4RY3VU2ZGXI,롯데마트서현점,392,37.3866267,127.1220743
KEEP,카카오 SW8 검증 역세권,,GGD-OEWMAGPR5HKDFOZVBOYZ7PJIM6,수진역_2번출구,387,37.4368043,127.1416964
KEEP,카카오 SW8 검증 역세권,,GGD-G3EE56M3GR5V5ZOCBMBBNNG67L,미금역_3번출구,379,37.3489668,127.1100866
KEEP,카카오 SW8 검증 역세권,,GGD-7SGNJWLSLF33OCIAY65C3NEQXP,미금역_1번출구,377,37.3505085,127.1105753
KEEP,카카오 SW8 검증 역세권,,GGD-7HQV7FOT3QZE5BORMZS3WG6QGV,단대오거리역_1번출구,364,37.4459252,127.1624706
KEEP,카카오 SW8 검증 역세권,,GGD-PWP2NIFJFI6M3VPMUGXMR3HWFI,신흥역_3번출구,356,37.4412274,127.1463703
KEEP,상업시설·시장 계열,,GGD-QUSEX3Y7O7ZN5MOKFHRH7ZQB46,이마트파주운정점,354,37.7111425,126.7450244
KEEP,상업시설·시장 계열,,GGD-LC4DOG4B4WUYH5DMWK6OHVYT7C,메가박스남양주,353,37.6553819,127.2442898
KEEP,상업시설·시장 계열,,GGD-6B27X4UUCMB36YFO4N3F6KL2DA,롯데마트천천점,351,37.2963109,126.9827461
KEEP,상업시설·시장 계열,,GGD-ACTLFYVEZ73SRQWQNN43QDA6FM,CGV이천,350,37.2776270,127.4450501
KEEP,상업시설·시장 계열,,GGD-UMSXNYBBX327X7W4OIH6D3MGJ4,이마트시화점,346,37.3452639,126.7369238
KEEP,카카오 SW8 검증 역세권,,GGD-METMJ6DXCIX43ZXGWQQORMS5LQ,판교역로192번길,344,37.3973306,127.1115194
KEEP,상업시설·시장 계열,,GGD-QP3MEU4TEXQLWU75HRADBYXSTC,롯데마트시흥점,342,37.4414143,126.7914783
KEEP,상업시설·시장 계열,,GGD-CHFC6XVVMXB232D3NNPOOCYMBL,롯데마트고양점,336,37.6240868,126.8356672
