recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
EXCLUDE,도로·길 원본 구간명,,GGD-BJRZHIZ2X6QI3L3X36K45KYC57,산내로104번길,47,37.7277960,126.7373266
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-R4IJLTEAELRF7QGTXTU2U42NVC,상대원119안전센터,47,37.4328419,127.1719329
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-46UJ4ADHCPRHNILASAWOJEAE5Y,심곡3동주민센터,47,37.4875307,126.7748450
EXCLUDE,도로·길 원본 구간명,,GGD-HVBMYNC4SN7ASCYQLB2JZ5GZ72,중앙대학로,47,37.0006023,127.2243797
EXCLUDE,도로·길 원본 구간명,,GGD-KYYYQEWLXH5F3IYFNDDMU5JUEC,청명로21번길,47,37.2493998,127.0781611
EXCLUDE,도로·길 원본 구간명,,GGD-3LDSTR4X7MGQNWWKGQNRFISYI6,김포한강2로24번길,46,37.6469769,126.6763590
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-B6Y55HQ55BQWRM7GAYC34QZYAV,신둔우체국,46,37.3101112,127.4022435
EXCLUDE,도로·길 원본 구간명,,GGD-LFM6M4SV75XOYRT22TYJLTHEPW,안산천동로4길,46,37.3339255,126.8523181
EXCLUDE,도로·길 원본 구간명,,GGD-VHKQZ2QVCEIYRC7HXYSDFRPQN3,오전공업길,46,37.3559021,126.9657460
EXCLUDE,도로·길 원본 구간명,,GGD-OZONMSH76SO4Q75OZRNPX3KG3A,충장로,46,37.3094748,126.8568454
EXCLUDE,도로·길 원본 구간명,,GGD-3XUUMLG2CBIORJKIBPMONNBE5E,안중로18번길,45,36.9834628,126.9272852
EXCLUDE,도로·길 원본 구간명,,GGD-Q7TTVWAAVCSC4WGZCWBC4JUJUR,일산로_1,45,37.6446447,126.7912790
EXCLUDE,도로·길 원본 구간명,,GGD-QBW2QO7D6ON5RJMHOKURBGBOME,장안로,45,37.2865050,127.0070884
EXCLUDE,도로·길 원본 구간명,,GGD-2A7SACW3ZJ7FLUZNWU72IREBE6,경춘로_1,44,37.6011862,127.1322426
EXCLUDE,도로·길 원본 구간명,,GGD-CHYL4O6Z5SOKVKAKJO245HPWJ4,진건오남로,44,37.6786874,127.2114758
EXCLUDE,도로·길 원본 구간명,,GGD-POXSQQ5343BBOV7YEHUA4QAT2Q,경의로,43,37.6909637,126.7602917
EXCLUDE,도로·길 원본 구간명,,GGD-WVCLR7EDWMTFM72FJ72OB35HIO,계원대학로,43,37.3800798,126.9751999
EXCLUDE,도로·길 원본 구간명,,GGD-UMHWB52T4R6H7GLRPJFNPWFTPP,군서마을로,43,37.3477478,126.7453226
EXCLUDE,도로·길 원본 구간명,,GGD-FXJRDFBRXNBGDU4TWSASDELA4R,사은로,43,37.2554584,127.1171313
EXCLUDE,도로·길 원본 구간명,,GGD-4ZPTFJLGDPDWQPJSNFAG7DQ7OT,건원대로,42,37.6047174,127.1392924
